departureTimes,arrivalTimes
20.05.2023 15:31,20.05.2023 20:08
27.02.2023 13:25,27.02.2023 18:52
22.08.2023 15:30,22.08.2023 19:27
14.01.2023 23:32,15.01.2023 04:53
25.01.2023 07:59,25.01.2023 12:57
16.07.2023 04:34,16.07.2023 08:31
01.12.2023 05:52,01.12.2023 10:21
02.03.2023 16:24,02.03.2023 21:11
15.02.2023 08:35,15.02.2023 11:48
05.01.2023 23:38,06.01.2023 03:35
05.10.2023 15:29,05.10.2023 18:05
21.09.2023 01:58,21.09.2023 06:28
08.11.2023 00:22,08.11.2023 02:52
01.04.2023 23:37,02.04.2023 04:09
12.08.2023 19:46,12.08.2023 22:51
18.01.2023 16:40,18.01.2023 20:48
11.02.2023 01:22,11.02.2023 05:25
07.05.2023 17:24,07.05.2023 22:14
21.06.2023 18:56,21.06.2023 23:42
29.01.2023 22:47,30.01.2023 03:40
06.09.2023 06:12,06.09.2023 10:07
11.07.2023 04:54,11.07.2023 08:26
07.07.2023 18:36,07.07.2023 22:53
09.12.2023 07:14,09.12.2023 12:34
17.02.2023 22:46,18.02.2023 04:16
25.08.2023 21:13,26.08.2023 01:46
05.11.2023 09:01,05.11.2023 13:12
06.05.2023 21:48,07.05.2023 02:03
25.01.2023 19:20,25.01.2023 22:19
05.01.2023 04:17,05.01.2023 07:11
03.01.2023 11:19,03.01.2023 15:45
17.04.2023 11:03,17.04.2023 15:32
21.03.2023 05:29,21.03.2023 10:06
20.04.2023 21:24,21.04.2023 00:03
05.08.2023 17:23,05.08.2023 20:02
25.07.2023 04:25,25.07.2023 08:53
21.03.2023 08:24,21.03.2023 12:13
23.05.2023 04:08,23.05.2023 08:03
04.05.2023 01:50,04.05.2023 04:32
29.09.2023 11:56,29.09.2023 15:44
15.05.2023 07:31,15.05.2023 10:20
04.06.2023 01:15,04.06.2023 07:02
28.07.2023 00:03,28.07.2023 04:52
03.08.2023 01:49,03.08.2023 05:49
11.01.2023 11:07,11.01.2023 13:57
03.02.2023 04:06,03.02.2023 09:04
02.07.2023 08:55,02.07.2023 14:36
01.12.2023 05:51,01.12.2023 11:12
01.04.2023 03:10,01.04.2023 08:34
26.08.2023 16:03,26.08.2023 19:05
24.01.2023 17:36,24.01.2023 21:01
06.01.2023 22:43,07.01.2023 04:01
09.07.2023 07:30,09.07.2023 11:29
26.08.2023 10:54,26.08.2023 16:42
24.05.2023 11:20,24.05.2023 14:42
19.05.2023 13:14,19.05.2023 16:52
15.05.2023 12:52,15.05.2023 17:47
02.10.2023 03:20,02.10.2023 07:37
11.08.2023 17:33,11.08.2023 21:54
29.03.2023 01:13,29.03.2023 03:54
03.12.2023 19:04,03.12.2023 21:47
