departureTimes,arrivalTimes
13-Oct-2023 02:16:46,13-Oct-2023 08:23:42
18-Sep-2023 02:44:45,18-Sep-2023 09:06:04
31-Aug-2023 15:06:51,31-Aug-2023 18:39:20
14-May-2023 15:25:50,14-May-2023 22:00:05
07-Mar-2023 06:17:26,07-Mar-2023 13:58:41
11-Jun-2023 03:22:38,11-Jun-2023 10:01:58
24-Oct-2023 03:36:00,24-Oct-2023 07:39:28
24-Feb-2023 20:58:15,25-Feb-2023 00:52:46
08-Jan-2023 12:46:20,08-Jan-2023 20:09:06
22-Oct-2023 08:14:17,22-Oct-2023 12:35:35
09-May-2023 08:27:05,09-May-2023 12:25:42
22-Mar-2023 11:53:44,22-Mar-2023 17:01:58
23-Oct-2023 06:00:21,23-Oct-2023 13:23:34
08-Feb-2023 00:03:18,08-Feb-2023 04:02:07
03-Apr-2023 04:12:53,03-Apr-2023 10:38:32
21-Oct-2023 02:40:51,21-Oct-2023 09:21:57
21-Apr-2023 22:15:00,22-Apr-2023 02:37:02
13-Sep-2023 13:08:05,13-Sep-2023 17:36:36
05-Sep-2023 03:18:35,05-Sep-2023 10:55:37
13-Apr-2023 09:50:30,13-Apr-2023 13:55:54
12-Mar-2023 22:53:54,13-Mar-2023 03:46:37
09-Apr-2023 02:33:27,09-Apr-2023 08:47:26
28-Feb-2023 00:06:30,28-Feb-2023 04:57:23
05-Apr-2023 22:01:28,06-Apr-2023 04:19:48
12-Feb-2023 01:26:10,12-Feb-2023 09:07:11
19-Jul-2023 10:36:53,19-Jul-2023 16:51:12
29-Aug-2023 06:15:07,29-Aug-2023 12:37:30
10-Jun-2023 15:45:12,10-Jun-2023 20:00:14
28-Jun-2023 01:13:26,28-Jun-2023 08:25:22
13-Dec-2023 15:17:20,13-Dec-2023 22:02:07
13-Mar-2023 23:42:55,14-Mar-2023 03:27:34
01-Nov-2023 17:15:23,01-Nov-2023 21:31:56
19-Apr-2023 19:59:44,20-Apr-2023 01:42:24
23-Aug-2023 01:49:19,23-Aug-2023 07:18:37
24-Jun-2023 22:57:13,25-Jun-2023 06:38:26
23-Jan-2023 07:12:15,23-Jan-2023 13:57:58
25-Jun-2023 21:38:49,26-Jun-2023 01:52:35
21-Aug-2023 06:35:25,21-Aug-2023 10:05:31
21-May-2023 04:40:18,21-May-2023 11:32:41
06-Apr-2023 08:45:30,06-Apr-2023 15:09:31
10-Aug-2023 05:45:52,10-Aug-2023 13:12:50
01-Jun-2023 18:14:33,01-Jun-2023 23:13:28
13-May-2023 13:58:46,13-May-2023 18:15:59
19-Jan-2023 05:29:35,19-Jan-2023 12:03:59
03-Jul-2023 18:03:34,03-Jul-2023 23:03:21
14-Aug-2023 19:35:06,15-Aug-2023 01:12:43
11-Dec-2023 14:20:22,11-Dec-2023 18:10:18
29-Sep-2023 17:14:46,30-Sep-2023 00:54:11
19-Nov-2023 05:48:04,19-Nov-2023 11:33:08
13-Jun-2023 22:34:22,14-Jun-2023 02:16:12
30-Jul-2023 03:33:27,30-Jul-2023 09:08:43
15-Aug-2023 13:49:20,15-Aug-2023 18:01:32
29-Mar-2023 03:23:14,29-Mar-2023 10:31:38
17-Feb-2023 09:11:10,17-Feb-2023 16:36:30
03-Apr-2023 06:39:19,03-Apr-2023 12:29:53
26-Mar-2023 13:28:52,26-Mar-2023 18:10:22
02-Apr-2023 01:33:36,02-Apr-2023 09:19:58
16-Mar-2023 15:31:23,16-Mar-2023 21:49:09
15-Oct-2023 05:26:53,15-Oct-2023 09:22:30
19-Jun-2023 06:14:53,19-Jun-2023 10:26:38
30-Jan-2023 01:13:39,30-Jan-2023 07:47:04
21-Jan-2023 13:09:12,21-Jan-2023 18:51:24
25-Aug-2023 00:44:32,25-Aug-2023 04:00:45
13-Feb-2023 06:47:06,13-Feb-2023 12:29:47
01-Jul-2023 10:06:39,01-Jul-2023 17:47:39
14-Aug-2023 05:55:18,14-Aug-2023 12:20:55
24-Mar-2023 14:51:49,24-Mar-2023 22:30:19
17-Dec-2023 06:15:03,17-Dec-2023 13:34:39
01-Oct-2023 00:00:40,01-Oct-2023 05:49:52
22-May-2023 08:49:30,22-May-2023 15:16:23
18-Apr-2023 00:11:34,18-Apr-2023 07:15:20
23-Nov-2023 22:56:05,24-Nov-2023 05:15:53
21-May-2023 12:04:22,21-May-2023 15:55:21
05-Jan-2023 09:29:24,05-Jan-2023 13:14:07
18-Feb-2023 15:21:18,18-Feb-2023 20:04:06
19-Aug-2023 05:11:33,19-Aug-2023 12:06:34
20-Jul-2023 18:40:22,20-Jul-2023 21:46:47
03-Apr-2023 00:15:23,03-Apr-2023 04:27:40
25-May-2023 11:31:07,25-May-2023 14:45:08
05-Mar-2023 11:34:33,05-Mar-2023 17:51:08
05-Oct-2023 13:37:39,05-Oct-2023 20:43:40
16-Oct-2023 15:59:53,16-Oct-2023 22:42:38
24-Jun-2023 02:59:27,24-Jun-2023 08:47:36
01-Feb-2023 03:59:45,01-Feb-2023 08:20:49
14-Aug-2023 00:21:12,14-Aug-2023 07:45:28
20-Dec-2023 15:24:51,20-Dec-2023 22:26:38
02-Jul-2023 09:34:44,02-Jul-2023 17:03:01
23-Jun-2023 04:41:48,23-Jun-2023 11:57:40
30-Dec-2023 17:23:42,31-Dec-2023 00:05:05
19-Sep-2023 00:25:31,19-Sep-2023 06:22:34
21-Jun-2023 00:02:50,21-Jun-2023 06:39:26
07-Jan-2023 22:04:39,08-Jan-2023 02:34:03
07-Jul-2023 13:27:34,07-Jul-2023 19:56:42
11-Sep-2023 19:30:22,12-Sep-2023 02:50:29
28-Jan-2023 04:52:57,28-Jan-2023 08:10:26
30-Jan-2023 19:53:00,31-Jan-2023 00:34:56
15-Aug-2023 23:25:52,16-Aug-2023 03:38:21
31-May-2023 08:30:45,31-May-2023 11:55:46
02-Jun-2023 09:48:20,02-Jun-2023 15:00:15
16-Jul-2023 14:43:55,16-Jul-2023 18:08:55
28-Jan-2023 05:36:48,28-Jan-2023 12:57:39
27-Jul-2023 15:02:37,27-Jul-2023 20:15:17
30-Oct-2023 10:47:50,30-Oct-2023 16:22:13
18-Apr-2023 20:20:58,19-Apr-2023 04:00:53
23-Aug-2023 10:30:11,23-Aug-2023 17:21:13
20-Feb-2023 04:11:31,20-Feb-2023 09:44:57
04-Nov-2023 09:48:18,04-Nov-2023 14:23:45
27-Oct-2023 23:38:51,28-Oct-2023 06:41:04
01-Oct-2023 23:18:18,02-Oct-2023 02:40:35
30-Nov-2023 17:16:14,30-Nov-2023 21:19:20
14-Jun-2023 07:25:45,14-Jun-2023 11:51:10
14-Sep-2023 22:52:55,15-Sep-2023 05:25:22
04-Sep-2023 04:39:58,04-Sep-2023 10:26:23
29-May-2023 04:05:26,29-May-2023 10:07:01
28-Nov-2023 02:11:07,28-Nov-2023 06:28:47
10-Nov-2023 13:34:30,10-Nov-2023 17:27:30
27-Mar-2023 11:22:15,27-Mar-2023 15:35:00
25-Jul-2023 12:24:56,25-Jul-2023 15:55:42
02-Jul-2023 03:16:26,02-Jul-2023 10:23:22
11-Dec-2023 21:57:31,12-Dec-2023 05:11:25
06-Jan-2023 22:35:39,07-Jan-2023 04:56:19
23-Apr-2023 16:49:19,23-Apr-2023 21:01:13
18-Dec-2023 18:39:46,19-Dec-2023 00:39:03
05-Nov-2023 19:29:12,06-Nov-2023 00:02:20
06-Feb-2023 03:31:56,06-Feb-2023 08:44:50
16-Jan-2023 02:43:09,16-Jan-2023 06:34:25
27-Nov-2023 22:04:54,28-Nov-2023 02:14:12
21-Jul-2023 14:08:18,21-Jul-2023 17:25:30
03-Nov-2023 14:44:08,03-Nov-2023 19:13:32
25-Apr-2023 02:41:57,25-Apr-2023 08:00:56
09-Jul-2023 06:58:22,09-Jul-2023 11:40:38
13-Mar-2023 02:36:21,13-Mar-2023 09:35:54
05-Jan-2023 18:37:41,05-Jan-2023 22:23:05
11-Dec-2023 13:04:31,11-Dec-2023 16:34:16
14-Jul-2023 08:46:05,14-Jul-2023 16:07:36
06-Feb-2023 13:29:08,06-Feb-2023 20:49:54
14-Jun-2023 07:24:51,14-Jun-2023 11:36:14
30-Sep-2023 11:20:46,30-Sep-2023 16:49:29
13-Jul-2023 16:18:35,13-Jul-2023 21:59:25
04-Dec-2023 23:02:05,05-Dec-2023 05:07:44
24-May-2023 18:00:22,24-May-2023 23:47:28
28-Feb-2023 07:08:35,28-Feb-2023 12:44:00
05-Nov-2023 02:56:19,05-Nov-2023 10:21:26
01-Mar-2023 14:31:04,01-Mar-2023 17:40:35
07-Nov-2023 21:02:55,08-Nov-2023 01:06:36
03-Nov-2023 21:50:47,04-Nov-2023 03:40:43
26-Jun-2023 08:20:05,26-Jun-2023 14:54:51
09-Oct-2023 17:14:53,09-Oct-2023 22:48:52
04-Nov-2023 17:42:33,05-Nov-2023 01:18:36
26-May-2023 12:06:23,26-May-2023 19:50:25
23-Jul-2023 19:32:41,24-Jul-2023 02:23:39
08-Jul-2023 06:53:07,08-Jul-2023 13:23:56
17-Apr-2023 08:52:45,17-Apr-2023 12:42:01
02-Dec-2023 11:09:23,02-Dec-2023 18:14:39
27-May-2023 16:39:23,27-May-2023 19:58:59
28-Nov-2023 00:14:07,28-Nov-2023 06:21:27
26-Jun-2023 00:37:31,26-Jun-2023 05:47:35
29-May-2023 22:11:40,30-May-2023 01:20:27
12-Sep-2023 11:01:40,12-Sep-2023 14:48:34
02-Nov-2023 19:32:12,03-Nov-2023 01:32:05
11-Mar-2023 10:59:56,11-Mar-2023 18:29:10
12-Nov-2023 09:10:40,12-Nov-2023 15:16:24
13-Aug-2023 11:59:19,13-Aug-2023 19:24:40
10-Jun-2023 23:31:16,11-Jun-2023 06:05:55
27-Aug-2023 00:59:26,27-Aug-2023 05:51:36
13-Feb-2023 02:39:36,13-Feb-2023 07:26:53
17-Sep-2023 04:15:50,17-Sep-2023 11:43:05
07-Feb-2023 11:17:23,07-Feb-2023 16:17:50
26-Jul-2023 11:07:09,26-Jul-2023 14:16:43
26-Sep-2023 09:18:42,26-Sep-2023 12:48:37
01-Dec-2023 12:06:13,01-Dec-2023 18:31:00
17-Nov-2023 04:17:44,17-Nov-2023 11:37:17
15-May-2023 18:30:56,16-May-2023 01:30:49
16-Sep-2023 02:10:01,16-Sep-2023 07:32:17
19-May-2023 14:28:21,19-May-2023 18:51:09
12-Jun-2023 00:29:22,12-Jun-2023 05:45:51
26-Mar-2023 10:39:39,26-Mar-2023 17:03:36
01-Aug-2023 12:56:56,01-Aug-2023 19:37:51
06-Jan-2023 04:20:58,06-Jan-2023 12:06:35
29-May-2023 17:05:07,29-May-2023 23:33:50
20-May-2023 13:07:52,20-May-2023 18:22:12
22-Feb-2023 06:56:29,22-Feb-2023 12:26:55
27-Sep-2023 07:21:23,27-Sep-2023 12:06:55
29-Apr-2023 05:21:13,29-Apr-2023 10:43:22
20-May-2023 09:23:59,20-May-2023 15:50:16
27-Dec-2023 00:18:55,27-Dec-2023 07:15:28
15-Aug-2023 18:31:57,16-Aug-2023 01:05:40
28-May-2023 01:08:20,28-May-2023 08:41:39
26-Mar-2023 13:28:42,26-Mar-2023 18:13:03
18-Dec-2023 11:40:20,18-Dec-2023 17:54:21
22-Feb-2023 17:05:06,23-Feb-2023 00:21:28
26-May-2023 23:17:18,27-May-2023 05:37:23
13-Jul-2023 15:59:26,13-Jul-2023 22:40:18
06-Feb-2023 17:51:25,06-Feb-2023 23:32:43
31-Jul-2023 09:40:04,31-Jul-2023 13:04:10
08-Feb-2023 00:48:06,08-Feb-2023 06:35:49
05-Aug-2023 21:32:28,06-Aug-2023 01:33:54
24-Jun-2023 00:46:01,24-Jun-2023 06:17:40
25-Oct-2023 03:07:47,25-Oct-2023 10:42:03
28-Jul-2023 19:51:47,28-Jul-2023 23:30:16
18-Mar-2023 16:00:24,18-Mar-2023 23:39:31
06-Jun-2023 21:40:48,07-Jun-2023 04:49:22
07-Jun-2023 12:53:27,07-Jun-2023 16:14:24
14-Nov-2023 03:06:06,14-Nov-2023 10:00:22
29-Sep-2023 21:44:58,30-Sep-2023 02:07:36
25-May-2023 09:04:01,25-May-2023 12:14:10
02-Mar-2023 14:13:17,02-Mar-2023 18:58:36
17-Jul-2023 05:27:04,17-Jul-2023 11:31:05
08-Jan-2023 08:56:40,08-Jan-2023 13:44:06
13-Feb-2023 19:17:37,14-Feb-2023 00:47:53
19-Aug-2023 19:37:16,20-Aug-2023 03:24:54
26-Jun-2023 11:05:41,26-Jun-2023 17:34:03
29-Dec-2023 02:51:16,29-Dec-2023 10:03:52
28-Aug-2023 20:44:06,29-Aug-2023 01:49:49
20-Dec-2023 22:13:56,21-Dec-2023 03:30:25
17-Nov-2023 13:49:37,17-Nov-2023 17:32:35
14-Sep-2023 11:10:31,14-Sep-2023 14:41:29
31-Jan-2023 08:12:49,31-Jan-2023 13:34:09
10-Jun-2023 19:21:36,11-Jun-2023 02:49:52
01-Jan-2023 04:33:37,01-Jan-2023 09:45:09
05-Sep-2023 00:26:41,05-Sep-2023 04:59:37
10-Oct-2023 00:57:36,10-Oct-2023 05:11:43
28-Nov-2023 22:09:38,29-Nov-2023 05:40:44
09-May-2023 22:43:25,10-May-2023 03:25:24
17-Jul-2023 22:55:23,18-Jul-2023 06:06:19
26-Aug-2023 18:02:16,27-Aug-2023 01:30:30
06-Mar-2023 14:57:01,06-Mar-2023 19:37:31
25-Dec-2023 11:06:04,25-Dec-2023 15:27:49
01-Jan-2023 23:52:16,02-Jan-2023 05:26:10
13-Mar-2023 06:14:35,13-Mar-2023 12:09:02
20-Jun-2023 10:37:57,20-Jun-2023 16:22:45
22-Jul-2023 16:57:37,22-Jul-2023 20:37:45
03-Apr-2023 11:51:05,03-Apr-2023 17:36:33
29-Dec-2023 04:00:35,29-Dec-2023 09:19:23
12-Jun-2023 13:52:01,12-Jun-2023 18:13:21
21-Jan-2023 02:59:52,21-Jan-2023 10:43:20
11-Sep-2023 11:59:21,11-Sep-2023 16:04:38
28-Mar-2023 12:13:13,28-Mar-2023 16:28:58
20-Apr-2023 02:04:52,20-Apr-2023 09:39:03
04-Apr-2023 04:50:00,04-Apr-2023 11:25:18
01-Feb-2023 17:18:34,01-Feb-2023 22:48:22
26-Jul-2023 13:00:18,26-Jul-2023 18:14:06
07-Apr-2023 20:58:11,08-Apr-2023 01:30:30
12-Jan-2023 15:46:08,12-Jan-2023 22:13:00
21-Aug-2023 23:47:53,22-Aug-2023 07:09:53
07-Aug-2023 17:28:45,07-Aug-2023 22:39:35
11-Mar-2023 13:09:19,11-Mar-2023 19:53:30
08-Sep-2023 09:35:58,08-Sep-2023 15:21:44
24-Apr-2023 00:22:55,24-Apr-2023 03:57:48
05-Jun-2023 05:53:03,05-Jun-2023 10:52:48
19-May-2023 20:56:18,20-May-2023 01:36:22
16-Aug-2023 09:13:09,16-Aug-2023 13:31:29
13-Oct-2023 13:48:26,13-Oct-2023 19:05:19
05-Aug-2023 10:39:44,05-Aug-2023 16:27:41
26-Aug-2023 04:09:47,26-Aug-2023 11:16:35
03-Aug-2023 13:16:07,03-Aug-2023 16:29:15
27-Feb-2023 22:21:29,28-Feb-2023 04:54:14
16-Jan-2023 08:04:23,16-Jan-2023 12:14:52
19-Feb-2023 21:02:54,20-Feb-2023 03:48:54
13-Apr-2023 21:22:26,14-Apr-2023 03:39:23
03-Oct-2023 12:29:46,03-Oct-2023 16:20:47
